location,attention_score
"-101.031250  33.406250
",1.9308199882507324
"-98.968750  32.531250
",1.679882526397705
"-101.593750  33.031250
",1.9717228412628174
"-100.718750  33.406250
",1.7076658010482788
"-102.281250  34.156250
",1.6552622318267822
"-98.281250  32.031250
",1.5933153629302979
"-97.093750  32.156250
",1.8120990991592407
"-101.968750  33.781250
",1.9168990850448608
"-96.468750  30.593750
",1.447921633720398
"-97.031250  31.718750
",1.33211350440979
"-99.593750  33.156250
",1.644207239151001
"-102.031250  33.281250
",1.3586138486862183
"-98.593750  32.218750
",1.3235268592834473
"-96.031250  30.531250
",1.4302059412002563
"-97.843750  32.281250
",1.7639319896697998
"-101.218750  33.406250
",1.377004861831665
"-101.718750  34.093750
",1.3300279378890991
"-98.343750  33.156250
",1.4736658334732056
"-101.593750  34.156250
",1.3144586086273193
"-97.843750  30.843750
",1.383044958114624
"-101.843750  34.093750
",1.4963182210922241
"-96.093750  29.968750
",1.7034215927124023
"-102.218750  33.593750
",1.2791911363601685
"-103.531250  34.406250
",1.581502914428711
"-101.218750  33.781250
",1.2599461078643799
"-102.156250  33.718750
",1.2889330387115479
"-103.031250  34.343750
",1.1471818685531616
"-101.343750  33.718750
",1.3981654644012451
"-99.281250  33.218750
",1.648759126663208
"-96.593750  31.718750
",1.0812567472457886
"-99.656250  33.218750
",1.2624709606170654
"-100.656250  33.468750
",1.4651520252227783
"-102.656250  33.906250
",1.498136043548584
"-103.156250  33.906250
",1.52937912940979
"-98.156250  32.656250
",1.4057563543319702
"-99.843750  32.906250
",1.5530054569244385
"-103.031250  34.093750
",1.0607479810714722
"-97.281250  31.968750
",1.3540061712265015
"-101.718750  33.343750
",1.2224088907241821
"-103.218750  34.093750
",1.0618566274642944
"-96.468750  30.468750
",1.0932607650756836
"-102.218750  34.406250
",1.5067343711853027
"-101.843750  34.156250
",1.1427291631698608
"-101.156250  33.718750
",1.0001519918441772
"-99.968750  32.343750
",1.1558932065963745
"-99.593750  32.906250
",1.1431211233139038
"-100.468750  32.531250
",1.0051084756851196
"-102.468750  33.968750
",0.9483362436294556
"-101.593750  34.031250
",0.9564146399497986
"-103.656250  34.156250
",0.918317437171936
"-96.343750  30.656250
",1.256258487701416
"-97.718750  31.468750
",1.110466718673706
"-97.281250  30.593750
",0.9437463283538818
"-101.281250  33.406250
",0.9931898713111877
"-96.906250  30.281250
",1.2177340984344482
"-98.406250  32.156250
",1.1242955923080444
"-99.843750  32.843750
",0.9273908138275146
"-101.843750  33.218750
",1.3208562135696411
"-96.656250  30.281250
",1.1423135995864868
"-101.968750  33.531250
",1.4020825624465942
"-96.031250  30.093750
",1.2341636419296265
"-96.343750  30.468750
",1.0329912900924683
"-97.031250  31.781250
",1.183668613433838
"-102.468750  34.093750
",0.9577195644378662
"-96.218750  30.531250
",1.010207176208496
"-96.718750  30.281250
",1.3223235607147217
"-97.593750  30.781250
",1.1508551836013794
"-96.968750  30.468750
",1.0749285221099854
"-95.343750  28.968750
",1.1012728214263916
"-103.093750  34.093750
",1.177345871925354
"-97.843750  32.906250
",0.9448065757751465
"-98.281250  32.968750
",0.9999204277992249
"-103.468750  34.593750
",1.3077569007873535
"-96.718750  30.218750
",1.0922988653182983
"-96.843750  31.781250
",1.237878680229187
"-96.656250  31.093750
",1.1230027675628662
"-96.031250  30.031250
",1.2450487613677979
"-96.906250  30.656250
",1.2448924779891968
"-96.656250  30.343750
",1.1909246444702148
"-102.468750  34.218750
",0.8763020038604736
"-102.656250  33.968750
",0.7995092868804932
"-98.781250  33.031250
",1.3194339275360107
"-100.656250  32.531250
",0.9701445698738098
"-98.968750  32.718750
",1.2319512367248535
"-103.218750  34.656250
",1.0066659450531006
"-97.718750  30.531250
",1.1024340391159058
"-102.906250  33.656250
",1.2779428958892822
"-96.156250  30.468750
",0.9074560403823853
"-98.843750  32.906250
",0.7574924826622009
"-96.343750  30.531250
",1.0318971872329712
"-96.656250  30.593750
",0.9512753486633301
"-102.343750  34.593750
",1.2061119079589844
"-96.468750  30.718750
",0.9450687766075134
"-97.093750  31.781250
",0.8202358484268188
"-96.781250  30.156250
",0.8078990578651428
"-101.718750  33.593750
",1.2071141004562378
"-96.656250  30.718750
",1.2194074392318726
"-103.593750  34.406250
",1.2291467189788818
"-100.843750  33.468750
",0.8118758797645569
"-96.843750  30.531250
",1.1867201328277588
"-96.593750  30.656250
",0.9631716012954712
"-103.156250  34.218750
",0.9968384504318237
"-103.718750  33.718750
",1.239009141921997
"-101.093750  33.281250
",0.8575275540351868
"-96.718750  30.531250
",0.8474223613739014
"-95.656250  29.281250
",1.1880500316619873
"-96.781250  30.906250
",1.0486658811569214
"-102.406250  33.781250
",1.1044070720672607
"-97.406250  30.468750
",1.1944019794464111
"-103.781250  33.906250
",0.8821672201156616
"-102.843750  33.656250
",0.7771753072738647
"-97.781250  30.593750
",0.91289222240448
"-103.218750  33.906250
",0.8964928388595581
"-97.281250  31.593750
",0.8832440376281738
"-100.656250  33.343750
",0.8230330348014832
"-97.031250  31.593750
",0.9649608135223389
"-96.718750  30.156250
",1.2664556503295898
"-96.468750  30.843750
",0.8890079855918884
"-96.656250  30.218750
",0.9182769060134888
"-98.656250  31.718750
",0.964813768863678
"-101.718750  33.718750
",1.1380611658096313
"-97.656250  31.406250
",1.0835232734680176
"-95.718750  29.343750
",1.1573266983032227
"-96.781250  30.656250
",0.9019670486450195
"-97.031250  30.406250
",1.1182090044021606
"-103.406250  34.218750
",0.7706376910209656
"-101.031250  32.968750
",1.1557047367095947
"-96.656250  30.156250
",0.9504320621490479
"-97.281250  31.781250
",0.8050374388694763
"-96.781250  30.281250
",1.1968131065368652
"-95.531250  29.343750
",1.0319575071334839
"-98.468750  31.906250
",1.0263123512268066
"-96.156250  30.531250
",0.9290642738342285
"-96.906250  30.406250
",0.7995169758796692
"-100.593750  32.468750
",1.1193702220916748
"-96.593750  30.781250
",1.0017969608306885
"-103.156250  34.656250
",1.198259711265564
"-97.781250  32.531250
",1.2183910608291626
"-101.468750  33.656250
",0.7461844682693481
"-100.718750  32.593750
",0.9474456906318665
"-97.093750  31.468750
",0.8987065553665161
"-95.968750  30.031250
",0.6975179314613342
"-103.281250  34.156250
",1.0310651063919067
"-96.406250  30.718750
",0.9707856178283691
"-100.718750  32.531250
",0.9316107034683228
"-95.593750  29.593750
",0.9052810668945312
"-97.656250  30.468750
",0.9502115249633789
"-103.281250  34.656250
",1.1706713438034058
"-97.906250  31.468750
",0.8247556686401367
"-97.593750  31.093750
",0.9097729921340942
"-96.093750  30.843750
",1.0735814571380615
"-97.093750  31.406250
",1.03458833694458
"-100.718750  32.468750
",1.1413968801498413
"-101.218750  33.656250
",1.1844322681427002
"-101.906250  33.843750
",0.6913286447525024
"-95.781250  29.531250
",1.0834826231002808
"-96.718750  30.656250
",0.8841404914855957
"-102.656250  34.593750
",1.0846062898635864
"-102.781250  34.531250
",0.871644139289856
"-97.406250  31.093750
",0.8667283058166504
"-99.281250  32.781250
",0.8007329702377319
"-96.656250  30.656250
",0.8796947002410889
"-97.343750  30.968750
",1.1613037586212158
"-102.843750  34.531250
",1.0093567371368408
"-97.281250  30.531250
",0.9655797481536865
"-98.656250  33.281250
",0.718011200428009
"-95.968750  30.343750
",0.7454519271850586
"-96.531250  31.718750
",0.9080666899681091
"-97.281250  30.906250
",0.8501708507537842
"-97.031250  30.343750
",1.1317481994628906
"-95.468750  29.343750
",0.9725403189659119
"-96.656250  31.656250
",0.7464397549629211
"-99.281250  32.968750
",1.1309089660644531
"-95.718750  29.406250
",1.14362370967865
"-97.531250  32.218750
",1.1117568016052246
"-98.531250  32.531250
",1.060016393661499
"-101.718750  34.281250
",0.7507721185684204
"-95.968750  30.718750
",0.7548602819442749
"-96.281250  31.218750
",0.7840279936790466
"-96.531250  30.468750
",0.6352638006210327
"-99.781250  33.093750
",0.7550504207611084
"-95.593750  29.406250
",0.8134256601333618
"-96.406250  30.593750
",1.055886149406433
"-101.906250  33.156250
",0.7054975032806396
"-95.468750  29.281250
",0.9632365703582764
"-96.656250  30.406250
",0.7987004518508911
"-102.343750  33.906250
",1.164933443069458
"-96.406250  31.281250
",0.7988287806510925
"-100.656250  32.468750
",0.7422930598258972
"-96.843750  30.406250
",0.7429678440093994
"-95.781250  29.406250
",0.7683010697364807
"-96.093750  31.031250
",0.7712534666061401
"-97.843750  30.781250
",0.683640718460083
"-99.906250  32.406250
",0.6753730177879333
"-103.406250  34.468750
",1.0214669704437256
"-96.781250  30.718750
",0.9162601232528687
"-100.843750  33.406250
",1.1146371364593506
"-101.843750  33.843750
",0.6684089303016663
"-99.531250  32.781250
",0.6170602440834045
"-97.968750  31.968750
",0.8333985805511475
"-99.093750  32.281250
",0.839158296585083
"-98.531250  32.031250
",0.7125098705291748
"-97.031250  31.531250
",0.7722453474998474
"-98.781250  33.218750
",0.9143372774124146
"-97.531250  30.843750
",1.0292961597442627
"-101.093750  33.156250
",0.6353598237037659
"-97.218750  30.406250
",0.6811390519142151
"-99.718750  33.343750
",0.6344214081764221
"-97.093750  30.718750
",1.006101369857788
"-96.406250  30.781250
",0.8383808732032776
"-96.281250  30.968750
",0.8381826877593994
"-96.468750  31.656250
",0.7672884464263916
"-99.406250  32.281250
",0.9264750480651855
"-103.843750  34.406250
",0.9436861276626587
"-98.281250  31.531250
",0.8004723191261292
"-100.906250  33.593750
",0.7421838045120239
"-96.593750  30.593750
",0.8766883015632629
"-95.718750  29.656250
",0.698844850063324
"-102.906250  33.968750
",0.6008414626121521
"-97.906250  32.656250
",0.6091495752334595
"-97.843750  32.531250
",0.631232738494873
"-103.718750  34.343750
",0.6262053847312927
"-96.531250  30.968750
",1.041544795036316
"-97.031250  30.156250
",1.0835933685302734
"-96.468750  31.531250
",0.5451613068580627
"-96.468750  31.093750
",0.8509006500244141
"-95.968750  29.968750
",0.6311576962471008
"-97.156250  32.031250
",1.062477946281433
"-99.781250  33.281250
",0.6802433729171753
"-103.156250  34.031250
",0.6820087432861328
"-96.468750  29.906250
",0.7244917750358582
"-98.093750  31.531250
",1.0494306087493896
"-96.343750  31.343750
",0.8649723529815674
"-98.531250  32.843750
",0.7820819020271301
"-100.281250  32.656250
",0.8368499875068665
"-103.531250  34.156250
",0.6883557438850403
"-96.531250  31.656250
",0.9355430603027344
"-99.531250  33.406250
",1.0565053224563599
"-100.531250  32.343750
",0.7890018224716187
"-96.343750  31.718750
",1.0268359184265137
"-102.531250  34.531250
",0.70994633436203
"-96.906250  30.343750
",0.644923210144043
"-100.343750  32.531250
",0.6103105545043945
"-102.843750  34.093750
",0.8509781360626221
"-99.406250  32.843750
",0.9580843448638916
"-96.843750  31.593750
",1.002132534980774
"-95.906250  29.531250
",0.7508857846260071
"-97.531250  31.218750
",0.8325745463371277
"-97.218750  30.593750
",0.8367911577224731
"-96.156250  31.156250
",0.7669142484664917
"-96.218750  31.593750
",1.013330101966858
"-97.031250  31.843750
",0.9172338247299194
"-96.781250  30.843750
",0.6568807363510132
"-97.406250  32.468750
",1.071624994277954
"-98.718750  32.031250
",1.0709636211395264
"-96.656250  30.093750
",0.7069786787033081
"-99.468750  33.343750
",0.6662750840187073
"-101.843750  33.781250
",0.6994569301605225
"-99.968750  32.656250
",0.7471184134483337
"-101.781250  33.156250
",0.829228937625885
"-96.843750  30.593750
",0.9135934114456177
"-96.281250  31.281250
",0.8265568017959595
"-95.843750  29.531250
",0.8875247240066528
"-98.531250  31.968750
",0.7297478914260864
"-97.906250  32.031250
",0.6162459254264832
"-100.906250  33.031250
",0.6543484926223755
"-96.593750  30.531250
",0.6018993258476257
"-97.406250  30.843750
",0.6708823442459106
"-96.093750  30.718750
",0.8126303553581238
"-101.656250  33.343750
",0.5706372261047363
"-101.843750  33.281250
",0.9296983480453491
"-95.593750  29.343750
",0.6049968004226685
"-103.093750  33.906250
",0.6395393013954163
"-97.343750  30.531250
",0.6585216522216797
"-103.156250  34.468750
",0.887540340423584
"-97.281250  31.656250
",0.6739790439605713
"-97.593750  30.968750
",0.8622295260429382
"-95.468750  29.406250
",0.8781416416168213
"-96.031250  29.656250
",0.8078852891921997
"-102.906250  34.093750
",0.5815017819404602
"-96.531250  30.781250
",0.6071783304214478
"-99.968750  32.781250
",0.6639316082000732
"-101.906250  33.781250
",0.5885598063468933
"-97.781250  30.781250
",0.5452314615249634
"-97.531250  30.656250
",0.6582551598548889
"-99.468750  33.156250
",0.7887364625930786
"-98.468750  31.718750
",0.77979576587677
"-96.343750  31.031250
",0.7756967544555664
"-96.156250  30.843750
",0.8872778415679932
"-95.406250  28.968750
",0.6751025319099426
"-97.531250  31.343750
",0.7711958885192871
"-96.343750  31.406250
",0.756365954875946
"-97.531250  32.156250
",0.6658033132553101
"-96.906250  30.468750
",1.0282366275787354
"-97.468750  30.468750
",0.8754780292510986
"-95.843750  29.593750
",0.810767412185669
"-99.781250  33.031250
",0.80882328748703
"-97.656250  30.968750
",0.6787816286087036
"-96.718750  31.343750
",0.8121787309646606
"-97.656250  31.093750
",0.8243602514266968
"-101.843750  32.968750
",0.9788757562637329
"-96.281250  31.343750
",0.7712538838386536
"-96.968750  30.656250
",0.5273846387863159
"-99.843750  33.218750
",0.6471843123435974
"-102.093750  34.156250
",0.837874174118042
"-98.593750  32.968750
",0.8148411512374878
"-103.406250  34.406250
",0.5203752517700195
"-97.031250  31.468750
",0.6848602890968323
"-103.343750  34.656250
",0.7359580993652344
"-96.218750  30.656250
",0.5051658749580383
"-98.343750  31.968750
",0.7134242057800293
"-97.093750  30.656250
",0.6840114593505859
"-101.218750  33.468750
",0.46525025367736816
"-96.218750  31.093750
",0.7159048318862915
"-98.343750  31.843750
",0.9827569723129272
"-96.968750  30.406250
",0.7436271905899048
"-96.531250  30.718750
",0.8863562345504761
"-103.781250  34.156250
",0.8118070363998413
"-97.281250  31.906250
",0.7467963695526123
"-96.281250  29.843750
",0.7548853754997253
"-97.093750  31.906250
",0.5862086415290833
"-96.343750  31.218750
",0.754723846912384
"-95.468750  29.156250
",0.9083490371704102
"-95.656250  29.343750
",0.804073691368103
"-100.593750  32.593750
",0.6250197887420654
"-103.156250  33.968750
",0.5502077341079712
"-95.906250  29.718750
",0.5553103089332581
"-97.531250  32.343750
",0.49884161353111267
"-101.406250  33.656250
",0.6836681365966797
"-97.718750  32.406250
",0.643610954284668
"-97.531250  30.593750
",0.8095850944519043
"-96.031250  30.156250
",0.6533516049385071
"-96.718750  31.718750
",0.6142430305480957
"-96.468750  31.593750
",0.7356525659561157
"-99.031250  33.218750
",1.0210872888565063
"-99.781250  32.968750
",0.6394270658493042
"-96.906250  30.593750
",0.8459253311157227
"-97.906250  32.718750
",0.7899386882781982
"-99.531250  33.156250
",0.5083768963813782
"-96.593750  30.968750
",0.6757164001464844
"-96.718750  30.593750
",0.9475968480110168
"-98.281250  31.406250
",0.5103352665901184
"-102.406250  34.218750
",0.7005062103271484
"-96.593750  31.656250
",0.6160544157028198
"-96.281250  31.468750
",0.5259827971458435
"-97.343750  30.593750
",0.6385873556137085
"-97.531250  31.281250
",0.606080949306488
"-96.343750  30.968750
",0.649408221244812
"-97.781250  32.218750
",0.9513595700263977
"-103.593750  34.031250
",0.8598704934120178
"-96.343750  31.593750
",0.48383036255836487
"-98.031250  31.218750
",0.6204580068588257
"-96.968750  30.218750
",0.6130872964859009
"-97.156250  30.468750
",0.8325398564338684
"-101.531250  34.031250
",0.5324141979217529
"-97.531250  31.781250
",0.5805014967918396
"-96.281250  30.718750
",0.7296301126480103
"-98.218750  31.281250
",0.8759362101554871
"-102.906250  34.531250
",0.5946098566055298
"-97.593750  32.531250
",0.8307672739028931
"-98.781250  32.843750
",0.5050466060638428
"-99.218750  32.781250
",0.6815215349197388
"-96.468750  30.781250
",0.7766538858413696
"-96.718750  31.781250
",0.7235089540481567
"-98.031250  31.968750
",0.6533076763153076
"-96.843750  30.281250
",0.5261491537094116
"-102.031250  33.656250
",0.5782687067985535
"-100.218750  32.406250
",0.636603057384491
"-99.656250  33.281250
",0.9554170370101929
"-98.656250  31.906250
",0.569267749786377
"-100.593750  32.531250
",0.5180365443229675
"-103.781250  34.468750
",0.5781444907188416
"-100.781250  33.718750
",0.4242401421070099
"-101.093750  33.406250
",0.42763009667396545
"-96.406250  31.031250
",0.6762232780456543
"-96.281250  29.968750
",0.9650276303291321
"-96.531250  30.593750
",0.6854223012924194
"-97.093750  30.781250
",0.6333266496658325
"-96.593750  30.843750
",0.5317049026489258
"-96.406250  31.656250
",0.5899710655212402
"-96.968750  30.156250
",0.6982724666595459
"-102.218750  34.531250
",0.6903278231620789
"-96.531250  30.656250
",0.7185124754905701
"-96.593750  31.093750
",0.6952700018882751
"-96.406250  30.281250
",0.9630107879638672
"-96.093750  30.406250
",0.5647050142288208
"-98.531250  33.218750
",0.41229963302612305
"-96.406250  31.531250
",0.8883403539657593
"-100.406250  33.531250
",0.5583218336105347
"-98.156250  32.843750
",0.6404151916503906
"-100.656250  32.656250
",0.5057414174079895
"-98.656250  31.843750
",0.8951914310455322
"-97.343750  30.468750
",0.7208375930786133
"-97.843750  30.656250
",0.6640899181365967
"-96.156250  30.906250
",0.584678590297699
"-98.468750  32.156250
",0.8182475566864014
"-98.906250  32.781250
",0.7894564867019653
"-101.406250  34.093750
",0.7674054503440857
"-95.531250  29.031250
",0.6292344331741333
"-97.656250  30.593750
",0.5848506689071655
"-100.406250  32.406250
",0.6970583200454712
"-96.906250  30.781250
",0.8510704636573792
"-95.468750  29.031250
",0.768349289894104
"-102.343750  34.468750
",0.5083951950073242
"-100.281250  32.468750
",0.5037623643875122
"-102.343750  34.031250
",0.3758339583873749
"-98.968750  33.093750
",0.7656800150871277
"-98.406250  33.093750
",0.8166837692260742
"-97.968750  32.468750
",0.5728113055229187
"-101.718750  33.968750
",0.6596114635467529
"-100.531250  32.468750
",0.6416018605232239
"-95.968750  29.781250
",0.7284162044525146
"-97.343750  30.406250
",0.7099430561065674
"-103.656250  34.531250
",0.7037346363067627
"-97.906250  32.968750
",0.8248034715652466
"-96.218750  29.781250
",0.6543986797332764
"-97.968750  31.218750
",0.5796262621879578
"-97.156250  30.656250
",0.7578682899475098
"-97.718750  32.468750
",0.6068117022514343
"-97.781250  31.343750
",0.5351989269256592
"-98.406250  31.781250
",0.7344469428062439
"-96.281250  30.781250
",0.407308429479599
"-96.843750  30.156250
",0.575567901134491
"-97.093750  31.656250
",0.7914451360702515
"-96.968750  30.343750
",0.5916933417320251
"-96.843750  30.343750
",0.48208388686180115
"-98.281250  31.656250
",0.7921776175498962
"-101.718750  34.156250
",0.9330887198448181
"-95.656250  29.218750
",0.6170946359634399
"-96.156250  31.406250
",0.6475555896759033
"-97.093750  31.531250
",0.4159335792064667
"-98.531250  33.093750
",0.5333342552185059
"-95.781250  29.343750
",0.5490682125091553
"-100.906250  33.406250
",0.4447983503341675
"-97.281250  30.968750
",0.7042198181152344
"-97.156250  30.718750
",0.6556329727172852
"-102.406250  34.281250
",0.4318375289440155
"-95.468750  28.906250
",0.5221790075302124
"-102.343750  34.531250
",0.4215548634529114
"-97.343750  30.781250
",0.5597460269927979
"-98.281250  33.031250
",0.5435938239097595
"-96.281250  31.406250
",0.5156223773956299
"-102.093750  33.968750
",0.43873757123947144
"-98.718750  32.218750
",0.5939860939979553
"-97.468750  31.281250
",0.5588527917861938
"-102.406250  34.031250
",0.3980858027935028
"-96.968750  31.343750
",0.4761456549167633
"-98.656250  32.781250
",0.5186127424240112
"-102.968750  34.156250
",0.5606619119644165
"-103.718750  34.218750
",0.4611733555793762
"-96.218750  30.343750
",0.5586766004562378
"-97.093750  30.406250
",0.6537448763847351
"-99.468750  33.468750
",0.5839064121246338
"-99.531250  32.593750
",0.592270016670227
"-96.781250  31.656250
",0.8346249461174011
"-97.531250  31.656250
",0.5834906101226807
"-100.906250  33.531250
",0.5124154090881348
"-96.281250  30.656250
",0.6479027271270752
"-96.781250  30.406250
",0.520346999168396
"-102.531250  34.281250
",0.4413003623485565
"-97.531250  32.406250
",0.4075072109699249
"-95.968750  29.843750
",0.5030269622802734
"-97.968750  32.781250
",0.48523104190826416
"-103.718750  33.843750
",0.47026610374450684
"-97.031250  30.218750
",0.5947674512863159
"-98.343750  31.593750
",0.5277863144874573
"-96.593750  30.218750
",0.6696950793266296
"-102.593750  34.031250
",0.6121065616607666
"-97.406250  30.593750
",0.884496808052063
"-102.593750  33.843750
",0.6811524033546448
"-96.718750  30.718750
",0.7211481332778931
"-98.718750  32.781250
",0.8370035290718079
"-102.406250  34.531250
",0.7782295942306519
"-101.843750  34.031250
",0.4783516526222229
"-98.031250  30.718750
",0.48677971959114075
"-97.718750  31.718750
",0.7545146942138672
"-101.281250  33.531250
",0.8749128580093384
"-97.968750  32.656250
",0.7661923170089722
"-96.218750  29.843750
",0.6619523763656616
"-103.781250  34.531250
",0.6387593746185303
"-102.781250  33.968750
",0.38369739055633545
"-97.593750  30.718750
",0.607550859451294
"-102.843750  34.593750
",0.7805156111717224
"-102.906250  34.406250
",0.40298932790756226
"-95.656250  29.156250
",0.6845669150352478
"-96.156250  30.156250
",0.6754207611083984
"-102.281250  33.906250
",0.6891522407531738
"-95.718750  29.531250
",0.49401983618736267
"-100.468750  32.218750
",0.7840140461921692
"-103.468750  34.343750
",0.6787354946136475
"-100.843750  33.343750
",0.3620184063911438
"-95.406250  29.156250
",0.8089828491210938
"-96.281250  30.593750
",0.6650978922843933
"-98.656250  32.218750
",0.6173437833786011
"-97.218750  31.468750
",0.824827253818512
"-97.593750  30.906250
",0.754413366317749
"-97.656250  32.593750
",0.835835874080658
"-97.656250  32.343750
",0.41527098417282104
"-97.531250  30.531250
",0.6840264797210693
"-100.968750  33.656250
",0.48574143648147583
"-96.906250  31.343750
",0.7351926565170288
"-101.593750  33.656250
",0.4745623767375946
"-98.218750  32.718750
",0.49295616149902344
"-96.281250  30.906250
",0.635985255241394
"-98.093750  32.656250
",0.5342956781387329
"-101.656250  34.343750
",0.4724583625793457
"-99.843750  33.031250
",0.34556084871292114
"-98.531250  31.781250
",0.8532171249389648
"-102.843750  34.281250
",0.4369126558303833
"-101.906250  34.093750
",0.7507627010345459
"-98.093750  32.593750
",0.4849836826324463
"-97.906250  30.781250
",0.5113915205001831
"-103.468750  34.281250
",0.3883078098297119
"-102.531250  33.781250
",0.39799314737319946
"-96.406250  30.343750
",0.555915892124176
"-100.156250  32.281250
",0.8184161186218262
"-98.656250  33.343750
",0.7179813981056213
"-103.593750  34.156250
",0.34642350673675537
"-96.156250  31.031250
",0.6175750494003296
"-101.968750  33.843750
",0.5047431588172913
"-96.031250  30.343750
",0.392602801322937
"-97.343750  31.531250
",0.7859943509101868
"-98.718750  32.843750
",0.7774267792701721
"-95.656250  29.593750
",0.6687226295471191
"-98.468750  32.906250
",0.6085021495819092
"-96.718750  30.406250
",0.7217055559158325
"-101.156250  33.031250
",0.3656545877456665
"-97.843750  30.531250
",0.3455689251422882
"-98.218750  32.406250
",0.6539056897163391
"-96.593750  31.343750
",0.7435182332992554
"-102.718750  33.968750
",0.29592710733413696
"-96.281250  30.843750
",0.5360979437828064
"-96.343750  30.593750
",0.6632980704307556
"-95.531250  29.593750
",0.8487148284912109
"-98.843750  31.906250
",0.8597308397293091
"-101.031250  33.468750
",0.4442318081855774
"-98.343750  31.218750
",0.5554888248443604
"-97.093750  30.468750
",0.8189166784286499
"-97.343750  30.718750
",0.7503555417060852
"-97.281250  30.406250
",0.7582199573516846
"-102.468750  34.343750
",0.6616321206092834
"-101.781250  34.093750
",0.7240378856658936
"-98.593750  33.281250
",0.7154320478439331
"-95.656250  29.656250
",0.4856254756450653
"-97.781250  32.281250
",0.7058864831924438
"-97.218750  30.718750
",0.45846834778785706
"-103.281250  34.031250
",0.8174021244049072
"-95.843750  29.468750
",0.7212759256362915
"-103.343750  34.406250
",0.43982478976249695
"-100.968750  33.218750
",0.35815778374671936
"-97.343750  31.906250
",0.41703465580940247
"-97.781250  30.468750
",0.46835416555404663
"-98.031250  31.468750
",0.8407270908355713
"-96.656250  31.718750
",0.3593219220638275
"-98.906250  32.281250
",0.5726434588432312
"-103.031250  34.531250
",0.5636814832687378
"-97.406250  31.843750
",0.2762387692928314
"-103.343750  34.531250
",0.7223922610282898
"-98.531250  31.656250
",0.8059836030006409
"-97.656250  30.906250
",0.4893428087234497
"-99.781250  32.718750
",0.40340954065322876
"-97.906250  32.843750
",0.30222761631011963
"-98.218750  31.468750
",0.666183590888977
"-98.156250  31.468750
",0.6908315420150757
"-96.906250  30.218750
",0.7472512722015381
"-96.406250  30.968750
",0.7337683439254761
"-97.281250  30.656250
",0.7341636419296265
"-97.468750  31.031250
",0.4682968854904175
"-97.281250  32.156250
",0.7107270956039429
"-97.968750  32.843750
",0.5689030289649963
"-96.218750  31.281250
",0.5497452616691589
"-97.156250  30.593750
",0.6218957901000977
"-98.156250  31.906250
",0.6422346234321594
"-97.406250  30.718750
",0.694709062576294
"-97.281250  31.343750
",0.6253103017807007
"-101.406250  33.906250
",0.47953930497169495
"-98.218750  33.031250
",0.42291560769081116
"-96.218750  30.718750
",0.7935941219329834
"-97.031250  30.468750
",0.5378770232200623
"-97.156250  31.281250
",0.6019618511199951
"-97.156250  30.843750
",0.38068804144859314
"-96.968750  31.156250
",0.6097975373268127
"-95.593750  29.031250
",0.5142991542816162
"-98.781250  32.218750
",0.5655829310417175
"-97.906250  30.843750
",0.6891216039657593
"-96.531250  30.343750
",0.5678138732910156
"-96.531250  29.906250
",0.5583276748657227
"-102.093750  34.468750
",0.7279314994812012
"-97.843750  31.406250
",0.467229425907135
"-96.531250  30.281250
",0.5790075063705444
"-102.468750  33.593750
",0.6685730814933777
"-100.718750  32.718750
",0.6765169501304626
